,coef,ci_low,ci_high,linear_p,OR,CI_low,CI_high,or_p
Female sex,-0.1273163931900726,-0.21707600348110373,-0.03755678289904148,0.005455253096331678,0.7763337342267692,0.632848068318072,0.9523519104676533,0.015173623057279949
Carbohydrate intake,-0.1124832108499376,-0.23306205445695816,0.00809563275708293,0.06747850188932072,0.9743272151169441,0.7413223094966338,1.2805678582128932,0.8520461612764891
Sugar intake,0.04333611564817373,-0.04890172027111524,0.1355739515674627,0.3569689141566049,0.9680206349792322,0.7855742113526357,1.1928395003345624,0.7603414649187632
Fibre intake,0.0621456522145484,0.004336364207520586,0.11995494022157621,0.03513108686015004,1.0423965246708178,0.9154332837574,1.1869685469441127,0.530924004476052
Fat intake,-0.004423052629292292,-0.06293919559276019,0.054093090334175614,0.8821767377320756,1.0463370162282315,0.9167917646357785,1.1941873757606747,0.5017810030212088
BMI,0.2444263759238403,0.20195325319910729,0.28689949864857334,9.029457345328607e-29,1.8054445295958397,1.6280744303553831,2.002138163140377,4.175983582276354e-29
Age,0.017831572766625548,0.0154819610760154,0.020181184457235695,7.445451147392458e-48,1.0594951690526526,1.0531045182588146,1.0659246008191867,3.2538832838962357e-78
